ID,AmE_wordform,BrE_wordform,DE_wordform,EP_wordform,ES_wordform,PoS (all),NLD_orthg_AmE_BrE,NLD_orthg_AmE_DE,NLD_orthg_AmE_EP,NLD_orthg_AmE_ES,NLD_orthg_BrE_DE,NLD_orthg_BrE_EP,NLD_orthg_BrE_ES,NLD_orthg_DE_EP,NLD_orthg_DE_ES,NLD_orthg_EP_ES,NLD_phonoL_AmE_BrE,NLD_phonoL_AmE_DE,NLD_phonoL_AmE_EP,NLD_phonoL_AmE_ES,NLD_phonoL_BrE_DE,NLD_phonoL_BrE_EP,NLD_phonoL_BrE_ES,NLD_phonoL_DE_EP,NLD_phonoL_DE_ES,NLD_phonoL_EP_ES,NLD_phonoG_AmE_BrE,NLD_phonoG_AmE_DE,NLD_phonoG_AmE_EP,NLD_phonoG_AmE_ES,NLD_phonoG_BrE_DE,NLD_phonoG_BrE_EP,NLD_phonoG_BrE_ES,NLD_phonoG_DE_EP,NLD_phonoG_DE_ES,NLD_phonoG_EP_ES,AmE_wordform,LEN_orth_AmE,phonetic_t_AmE,LEN_phon_AmE,ANC_abs,ANC_mln,ANC_log10(abs+1),ANC_abs_annotated,ANC_mln_annotated,ANC_log10(abs+1)_annotated,SpecPoS_annotated_ANC,SubtlexUS_abs,SubtlexUS_mln,SubtlexUS_log10(abs+1),SubtlexUS_zipf,BrE_wordform,LEN_orth_BrE,phonetic_t_BrE,LEN_phon_BrE,Celex_abs,Celex_mln,Celex_log10(abs+1),Celex_abs_annotated,Celex_mln_annotated,Celex_log10(abs+1)_annotated,SpecPoS_annotated_Celex,SubtlexUK_abs,SubtlexUK_mln,SubtlexUK_log10(abs+1),SubtlexUK_zipf,DE_wordform,LEN_orth_DE,phonetic_t_DE,LEN_phon_DE,dlexDB_abs,dlexDB_mln,dlexDB_log10(abs+1),dlexDB_abs_annotated,dlexDB_mln_annotated,dlexDB_log10(abs+1)_annotated,SpecPoS_annotated_dlexDB,SubtlexDE_abs,SubtlexDE_mln,SubtlexDE_log10(abs+1),EP_wordform,EP_OA (1990),LEN_orth_EP,phonetic_t_EP,LEN_phon_EP,P-Pal_abs,P-PAL_mln,P-Pal_log10(abs+1),P-Pal_abs_annotated,P-Pal_mln_annotated,P-Pal_log10(abs+1)_annotated,SpecPoS_annotated_P-Pal,SubtlexPT_abs,SubtlexPT_mln,SubtlexPT_log10(abs+1),SubtlexPT_zipf,ES_wordform,LEN_orth_ES,phonetic_t_ES,LEN_phon_ES,Espal_abs,Espal_mln,Espal_log10(abs+1),Espal_abs_annotated,Espal_mln_annotated,Espal_log10(abs+1)_annotated,SpecPoS_annotated_Espal,SubtlexES_abs,SubtlexES_mln,Subtlex_ES_log10(abs+1),
5326,standard,standard,Standard,padrão,estándar,N,1.000,1.000,0.250,0.625,1.000,0.250,0.625,0.250,0.625,0.000,0.875,0.851,0.546,0.655,0.805,0.560,0.780,0.484,0.700,0.517,0.936,0.924,0.390,0.640,0.900,0.397,0.701,0.362,0.662,0.232,standard,8,ˈstændəɹ̠d,8,3843,171.639,3.585,548,24.475,2.740,,940,18.431,2.974,4.265,standard,8,ˈstændəd,7,1247,69.665,3.096,650,36.313,2.814,,10551,52.405,4.023,4.719,Standard,8,ʃtandaʁt,8,714,5.837,2.854,599,4.897,2.778,,93,3.662,1.973,padrão,,6,pɐðɾɐ̃w,6,2507,12.248,3.399,2506,12.243,3.399,,2141,27.442,3.331,4.438,estándar,8,es̺ˈtandaɾ,8,7226,23.481,3.859,619,2.011,2.792,,341,8.197,2.534,
5327,standardization,standardization,Standardisierung,estandardização,estandarización,N,1.000,0.625,0.733,0.733,0.625,0.733,0.733,0.500,0.500,0.667,0.877,0.722,0.643,0.670,0.803,0.594,0.718,0.527,0.696,0.663,0.937,0.673,0.688,0.701,0.712,0.662,0.726,0.514,0.595,0.665,standardization,15,stændəɹ̠ɾəzeɪʃən,15,92,4.109,1.968,73,3.260,1.869,,2,0.039,0.477,1.769,standardization,15,stændədaɪzeɪʃən,15,36,2.011,1.568,36,2.011,1.568,,NA,NA,NA,NA,Standardisierung,16,ʃtandaɐdɪzi:ʁʊŋ,14,219,1.790,2.342,219,1.790,2.342,,NA,NA,NA,estandardização,,15,ɨʃtɐ̃daɾðizɐsɐ̃w,14,51,0.249,1.716,51,0.249,1.716,,1,0.013,0.301,1.107,estandarización,15,es̺tandaɾiθaˈθjon,15,486,1.579,2.688,410,1.332,2.614,,2,0.048,0.477,
5328,standstill,standstill,Stillstand,paralisação,paralización,N,1.000,0.400,0.182,0.167,0.400,0.182,0.167,0.182,0.167,0.583,0.889,0.520,0.481,0.446,0.631,0.481,0.423,0.458,0.483,0.758,0.944,0.459,0.323,0.299,0.511,0.323,0.288,0.313,0.316,0.668,standstill,10,stændstɪɫ,9,20,0.893,1.322,14,0.625,1.176,,26,0.510,1.431,2.723,standstill,10,stænstɪɫ,8,60,3.352,1.785,60,3.352,1.785,,414,2.056,2.618,3.314,Stillstand,10,ʃtɪlʃtant,9,748,6.115,2.874,706,5.772,2.849,,52,2.047,1.724,paralisação,,11,pɐɾɐɫizɐsɐ̃w,11,2370,11.578,3.375,2370,11.578,3.375,,18,0.231,1.279,2.363,paralización,12,paɾaliθaθjon,12,970,3.152,2.987,959,3.116,2.982,,NA,NA,NA,
5329,star,star,Stern,estrela,estrella,N,1.000,0.600,0.286,0.250,0.600,0.286,0.250,0.429,0.375,0.875,0.700,0.744,0.462,0.427,0.569,0.354,0.343,0.429,0.429,0.842,0.844,0.670,0.371,0.335,0.584,0.319,0.296,0.429,0.402,0.858,star,4,stɑɹ̠,4,2825,126.172,3.451,1113,49.710,3.047,,4149,81.353,3.618,4.910,star,4,stɑ:,3,952,53.184,2.979,952,53.184,2.979,,22134,109.936,4.345,5.041,Stern,5,ʃtɛɐn,5,2266,18.525,3.355,1963,16.048,3.293,,532,20.946,2.727,estrela,,7,ɨʃtɾeɫɐ,7,8817,43.074,3.945,8459,41.325,3.927,,4433,56.819,3.647,4.755,estrella,8,es̺tɾeʝa,7,16984,55.189,4.230,13469,43.767,4.129,,2540,61.058,3.405,
5330,starch,starch,Stärke,fécula,fécula,N,1.000,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,1.000,0.800,0.496,0.267,0.267,0.555,0.300,0.300,0.400,0.373,0.929,0.897,0.498,0.125,0.125,0.527,0.140,0.140,0.183,0.172,0.964,starch,6,stɑɹ̠tʃ,5,37,1.653,1.580,36,1.608,1.568,,69,1.353,1.845,3.137,starch,6,stɑ:tʃ,4,94,5.251,1.978,90,5.028,1.959,,393,1.952,2.595,3.291,Stärke,6,ʃtɛɐkə,6,4659,38.088,3.668,4592,37.540,3.662,,631,24.843,2.801,fécula,,6,fɛkuɫɐ,6,28,0.137,1.462,28,0.137,1.462,,8,0.103,0.954,2.011,fécula,6,fekula,6,304,0.988,2.484,294,0.955,2.470,,NA,NA,NA,
5331,starch,starch,Stärkemehl,fécula,fécula,N,1.000,0.400,0.000,0.000,0.400,0.000,0.000,0.000,0.000,1.000,0.800,0.508,0.267,0.267,0.463,0.300,0.300,0.489,0.459,0.929,0.897,0.453,0.125,0.125,0.431,0.140,0.140,0.220,0.208,0.964,starch,6,stɑɹ̠tʃ,5,37,1.653,1.580,36,1.608,1.568,,69,1.353,1.845,3.137,starch,6,stɑ:tʃ,4,94,5.251,1.978,90,5.028,1.959,,393,1.952,2.595,3.291,Stärkemehl,10,ʃtɛ:ɐkəme:l,9,225,1.839,2.354,225,1.839,2.354,,3,0.118,0.602,fécula,,6,fɛkuɫɐ,6,28,0.137,1.462,28,0.137,1.462,,8,0.103,0.954,2.011,fécula,6,fekula,6,304,0.988,2.484,294,0.955,2.470,,NA,NA,NA,
5332,start,start,Anfang,começo,comienzo,N,1.000,0.167,0.000,0.000,0.167,0.000,0.000,0.000,0.125,0.625,0.760,0.256,0.380,0.321,0.416,0.313,0.272,0.283,0.350,0.688,0.876,0.211,0.175,0.149,0.286,0.146,0.128,0.133,0.232,0.656,start,5,stɑɹ̠t,5,5078,226.798,3.706,1303,58.196,3.115,,17345,340.098,4.239,5.531,start,5,stɑ:t,4,3841,214.581,3.585,845,47.207,2.927,,118728,589.702,5.075,5.77,Anfang,6,aɱfaŋ,5,14048,114.844,4.148,14048,114.844,4.148,,2309,90.909,3.364,começo,,6,kumesu,6,5065,24.744,3.705,4348,21.242,3.638,,4658,59.703,3.668,4.776,comienzo,8,komjenθo,8,16692,54.241,4.223,16412,53.331,4.215,,1926,46.298,3.285,
5333,start,start,Start,começo,comienzo,N,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.625,0.760,0.774,0.380,0.321,0.660,0.313,0.272,0.353,0.329,0.688,0.876,0.883,0.175,0.149,0.822,0.146,0.128,0.163,0.153,0.656,start,5,stɑɹ̠t,5,5078,226.798,3.706,1303,58.196,3.115,,17345,340.098,4.239,5.531,start,5,stɑ:t,4,3841,214.581,3.585,845,47.207,2.927,,118728,589.702,5.075,5.77,Start,5,ʃtaʁt,5,7255,59.310,3.861,1027,8.396,3.012,,452,17.796,2.656,começo,,6,kumesu,6,5065,24.744,3.705,4348,21.242,3.638,,4658,59.703,3.668,4.776,comienzo,8,komjenθo,8,16692,54.241,4.223,16412,53.331,4.215,,1926,46.298,3.285,
5334,start,start,anfangen,começar,empezar,V,1.000,0.125,0.143,0.143,0.125,0.143,0.143,0.000,0.000,0.429,0.760,0.435,0.416,0.455,0.376,0.325,0.339,0.415,0.608,0.645,0.876,0.271,0.272,0.290,0.244,0.231,0.237,0.190,0.268,0.533,start,5,stɑɹ̠t,5,5078,226.798,3.706,3605,161.009,3.557,,17345,340.098,4.239,5.531,start,5,stɑ:t,4,3841,214.581,3.585,2996,167.374,3.477,,118728,589.702,5.075,5.77,anfangen,8,anfaŋən,7,2448,20.013,3.389,2410,19.702,3.382,,2378,93.625,3.376,começar,,7,kumɨsaɾ,7,18935,92.504,4.277,18935,92.504,4.277,,19224,246.399,4.284,5.392,empezar,7,empeθaɾ,7,13631,44.294,4.135,13489,43.832,4.130,,5691,136.803,3.755,
5335,start,start,Anfang,princípio,principio,N,1.000,0.167,0.000,0.000,0.167,0.000,0.000,0.111,0.111,0.889,0.760,0.256,0.372,0.328,0.416,0.285,0.287,0.301,0.332,0.856,0.876,0.211,0.171,0.153,0.286,0.134,0.134,0.202,0.217,0.872,start,5,stɑɹ̠t,5,5078,226.798,3.706,1303,58.196,3.115,,17345,340.098,4.239,5.531,start,5,stɑ:t,4,3841,214.581,3.585,845,47.207,2.927,,118728,589.702,5.075,5.77,Anfang,6,aɱfaŋ,5,14048,114.844,4.148,14048,114.844,4.148,,2309,90.909,3.364,princípio,,9,pɾĩsipju,8,34413,168.119,4.537,34413,168.119,4.537,,2575,33.005,3.411,4.519,principio,9,pɾinθipjo,9,71293,231.666,4.853,66947,217.544,4.826,,3280,78.846,3.516,
5336,appetizer,starter,Vorspeise,entrada,entrada,N,0.333,0.222,0.111,0.111,0.111,0.143,0.143,0.000,0.000,1.000,0.413,0.471,0.575,0.553,0.486,0.515,0.475,0.586,0.500,0.825,0.372,0.341,0.323,0.313,0.285,0.316,0.299,0.259,0.225,0.911,appetizer,9,æpɪtaɪzəɹ̠,9,17,0.759,1.255,16,0.715,1.230,,61,1.196,1.792,3.084,starter,7,ˈstɑ:tə,5,71,3.966,1.857,71,3.966,1.857,,3790,18.824,3.579,4.274,Vorspeise,9,fo:ɐʃpaɪzə,9,138,1.128,2.143,138,1.128,2.143,,36,1.417,1.568,entrada,,7,ẽtɾaðɐ,6,38960,190.338,4.591,38471,187.949,4.585,,6171,79.095,3.790,4.898,entrada,7,entɾaða,7,33716,109.560,4.528,32646,106.083,4.514,,2613,62.813,3.417,
5337,state,state,Bundesland,estado,estado,N,1.000,0.200,0.500,0.500,0.200,0.500,0.500,0.300,0.300,1.000,1.000,0.328,0.481,0.498,0.328,0.481,0.498,0.436,0.436,0.903,1.000,0.262,0.491,0.499,0.262,0.491,0.499,0.366,0.366,0.951,state,5,steɪt,5,10883,486.065,4.037,8100,361.769,3.909,,5500,107.843,3.740,5.032,state,5,steɪt,5,5299,296.034,3.724,5195,290.223,3.716,,33877,168.261,4.530,5.226,Bundesland,10,bʊndəslant,10,143,1.169,2.158,143,1.169,2.158,,NA,NA,NA,estado,,6,ɨʃtaðu,6,125899,615.070,5.100,110820,541.399,5.045,,23416,300.129,4.370,5.477,estado,6,es̺taðo,6,219445,713.085,5.341,92049,299.112,4.964,,24490,588.702,4.389,
5338,statement,statement,Aussage,afirmação,afirmación,N,1.000,0.111,0.000,0.000,0.111,0.000,0.000,0.222,0.200,0.600,1.000,0.338,0.517,0.513,0.338,0.517,0.513,0.446,0.447,0.742,1.000,0.219,0.232,0.230,0.219,0.232,0.230,0.329,0.318,0.670,statement,9,steɪtmənt,9,1580,70.567,3.199,1473,65.788,3.168,,1491,29.235,3.174,4.466,statement,9,steɪtmənt,9,1134,63.352,3.055,1134,63.352,3.055,,11220,55.728,4.050,4.746,Aussage,7,aʊsza:ɡə,7,3110,25.425,3.493,3082,25.196,3.489,,548,21.576,2.740,afirmação,,9,ɐfiɾmɐsɐ̃w,9,9656,47.173,3.985,9656,47.173,3.985,,276,3.538,2.442,3.549,afirmación,10,afiɾmaθjon,10,6312,20.511,3.800,6227,20.235,3.794,,121,2.909,2.086,
5339,statement,statement,Bescheinigung,declaração,declaración,N,1.000,0.154,0.000,0.091,0.154,0.000,0.091,0.154,0.231,0.636,1.000,0.394,0.369,0.378,0.394,0.369,0.378,0.500,0.546,0.740,1.000,0.268,0.170,0.226,0.268,0.170,0.226,0.315,0.379,0.687,statement,9,steɪtmənt,9,1580,70.567,3.199,1473,65.788,3.168,,1491,29.235,3.174,4.466,statement,9,steɪtmənt,9,1134,63.352,3.055,1134,63.352,3.055,,11220,55.728,4.050,4.746,Bescheinigung,13,bəˈʃaɪnɪɡʊŋ,10,320,2.616,2.507,320,2.616,2.507,,5,0.197,0.778,declaração,,10,dɨkɫɐɾɐsɐ̃w,10,15151,74.018,4.180,15151,74.018,4.180,,1695,21.725,3.229,4.337,declaración,11,deklaɾaθjon,11,25573,83.099,4.408,21447,69.692,4.331,,1389,33.389,3.143,
5340,statement,statement,Aussage,depoimento,testimonio,N,1.000,0.111,0.400,0.300,0.111,0.400,0.300,0.100,0.100,0.500,1.000,0.338,0.455,0.486,0.338,0.455,0.486,0.372,0.358,0.676,1.000,0.219,0.427,0.390,0.219,0.427,0.390,0.229,0.222,0.585,statement,9,steɪtmənt,9,1580,70.567,3.199,1473,65.788,3.168,,1491,29.235,3.174,4.466,statement,9,steɪtmənt,9,1134,63.352,3.055,1134,63.352,3.055,,11220,55.728,4.050,4.746,Aussage,7,aʊsza:ɡə,7,3110,25.425,3.493,3082,25.196,3.489,,548,21.576,2.740,depoimento,,10,dɨpwimẽtu,9,2352,11.490,3.372,2352,11.490,3.372,,986,12.638,2.994,4.102,testimonio,10,tes̺timonjo,10,7030,22.844,3.847,6850,22.259,3.836,,544,13.077,2.736,
5341,station,station,Station,estação,estación,N,1.000,1.000,0.429,0.625,1.000,0.429,0.625,0.429,0.625,0.500,1.000,0.654,0.624,0.622,0.654,0.624,0.622,0.478,0.800,0.658,1.000,0.819,0.523,0.624,0.819,0.523,0.624,0.453,0.710,0.577,station,7,steɪʃən,7,1379,61.590,3.140,1137,50.782,3.056,,4033,79.078,3.606,4.898,station,7,steɪʃən,7,1658,92.626,3.220,1658,92.626,3.220,,13170,65.413,4.120,4.815,Station,7,ʃtaʦjo:n,7,1414,11.560,3.151,1405,11.486,3.148,,584,22.993,2.767,estação,,7,ɨʃtɐsɐ̃w,7,20806,101.645,4.318,20806,101.645,4.318,,4852,62.189,3.686,4.794,estación,8,es̺taθjon,8,26742,86.898,4.427,21220,68.954,4.327,,2352,56.538,3.372,
5342,statistics,statistics,Statistik,estatística,estadística,N,1.000,0.800,0.727,0.636,0.800,0.727,0.636,0.636,0.545,0.909,1.000,0.854,0.756,0.722,0.854,0.756,0.722,0.763,0.746,0.878,1.000,0.827,0.741,0.679,0.827,0.741,0.679,0.698,0.642,0.893,statistics,10,stətɪstɪks,10,810,36.177,2.909,731,32.649,2.865,,167,3.275,2.225,3.517,statistics,10,stətɪstɪks,10,324,18.101,2.512,324,18.101,2.512,,3535,17.558,3.549,4.244,Statistik,9,ʃtatɪstɪk,9,1539,12.581,3.188,1539,12.581,3.188,,45,1.772,1.663,estatística,,11,ɨʃtɐtiʃtikɐ,11,1650,8.061,3.218,1126,5.501,3.052,,133,1.705,2.127,3.232,estadística,11,es̺taðis̺tika,11,5559,18.064,3.745,888,2.886,2.949,,69,1.659,1.845,
5343,statue,statue,Statue,estátua,estatua,N,1.000,1.000,0.571,0.714,1.000,0.571,0.714,0.571,0.714,0.857,0.907,0.707,0.680,0.668,0.673,0.622,0.610,0.657,0.620,0.913,0.953,0.847,0.625,0.691,0.829,0.596,0.661,0.613,0.666,0.885,statue,6,stætʃu,5,388,17.329,2.590,337,15.051,2.529,,540,10.588,2.733,4.025,statue,6,stætju:,6,273,15.251,2.438,273,15.251,2.438,,2105,10.455,3.323,4.019,Statue,6,ʃta:tuə,6,589,4.815,2.771,583,4.766,2.766,,228,8.977,2.360,estátua,,7,ɨʃtatwɐ,7,2375,11.603,3.376,2375,11.603,3.376,,943,12.087,2.975,4.082,estatua,7,es̺tatwa,7,5341,17.356,3.728,5008,16.273,3.700,,462,11.106,2.666,
5344,status,status,Status,estatuto,estatuto,N,1.000,1.000,0.625,0.625,1.000,0.625,0.625,0.625,0.625,1.000,0.867,0.846,0.580,0.605,0.813,0.572,0.580,0.629,0.645,0.899,0.932,0.921,0.602,0.615,0.904,0.598,0.602,0.627,0.635,0.949,status,6,stæɾəs,6,1751,78.205,3.244,1679,74.989,3.225,,750,14.706,2.876,4.167,status,6,steɪtəs,7,1310,73.184,3.118,1310,73.184,3.118,,4872,24.198,3.688,4.384,Status,6,ʃta:tʊs,6,2084,17.037,3.319,1801,14.723,3.256,,227,8.937,2.358,estatuto,,8,ɨʃtɐtutu,8,16459,80.408,4.216,16459,80.408,4.216,,365,4.678,2.563,3.670,estatuto,8,es̺taˈtuto,8,18076,58.738,4.257,5894,19.153,3.770,,61,1.466,1.792,
5345,stay,stay,Aufenthalt,estadia,estancia,N,1.000,0.200,0.429,0.375,0.200,0.429,0.375,0.200,0.200,0.750,1.000,0.244,0.366,0.300,0.244,0.366,0.300,0.316,0.452,0.646,1.000,0.222,0.397,0.337,0.222,0.397,0.337,0.257,0.320,0.697,stay,4,steɪ,4,2833,126.530,3.452,392,17.508,2.594,,26298,515.647,4.420,5.712,stay,4,steɪ,4,2792,155.978,3.446,56,3.128,1.756,,49372,245.222,4.693,5.389,Aufenthalt,10,aʊfənthalt,10,2846,23.266,3.454,2846,23.266,3.454,,170,6.693,2.233,estadia,,7,ɨʃtɐðiɐ,7,1481,7.235,3.171,1481,7.235,3.171,,491,6.293,2.692,3.799,estancia,8,es̺tanθja,8,9508,30.896,3.978,9012,29.284,3.955,,129,3.101,2.114,
5346,stay,stay,bleiben,ficar,quedar,V,1.000,0.000,0.200,0.167,0.000,0.200,0.167,0.143,0.143,0.333,1.000,0.329,0.340,0.269,0.329,0.340,0.269,0.490,0.475,0.655,1.000,0.153,0.268,0.217,0.153,0.268,0.217,0.305,0.298,0.485,stay,4,steɪ,4,2833,126.530,3.452,2332,104.154,3.368,,26298,515.647,4.420,5.712,stay,4,steɪ,4,2792,155.978,3.446,2736,152.849,3.437,,49372,245.222,4.693,5.389,bleiben,7,blaɪbən,7,22300,182.304,4.348,21780,178.053,4.338,,9767,384.541,3.990,ficar,,5,fikaɾ,5,32769,160.088,4.515,32769,160.088,4.515,,65816,843.581,4.818,5.926,quedar,6,keðaɾ,5,13057,42.429,4.116,13024,42.321,4.115,,2719,65.361,3.435,
5347,steal,steal,stehlen,roubar,robar,V,1.000,0.571,0.167,0.200,0.571,0.167,0.200,0.000,0.000,0.833,0.950,0.583,0.380,0.460,0.617,0.340,0.420,0.486,0.536,0.874,0.975,0.577,0.269,0.324,0.594,0.251,0.305,0.219,0.239,0.853,steal,5,stiɫ,4,294,13.131,2.470,284,12.684,2.455,,2720,53.333,3.435,4.727,steal,5,sti:ɫ,4,224,12.514,2.352,220,12.291,2.344,,4414,21.924,3.645,4.341,stehlen,7,ʃte:lən,6,615,5.028,2.790,523,4.276,2.719,,951,37.442,2.979,roubar,,6,ʁoβaɾ,5,2373,11.593,3.375,2373,11.593,3.375,,6242,80.005,3.795,4.903,robar,5,roβaɾ,5,3201,10.402,3.505,3131,10.174,3.496,,1870,44.952,3.272,
5348,steam,steam,Dampf,vapor,vapor,N,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,1.000,0.950,0.350,0.538,0.478,0.325,0.498,0.438,0.561,0.635,0.873,0.975,0.162,0.240,0.216,0.151,0.224,0.199,0.369,0.401,0.935,steam,5,stim,4,234,10.451,2.371,208,9.290,2.320,,686,13.451,2.837,4.129,steam,5,sti:m,4,324,18.101,2.512,316,17.654,2.501,,4975,24.710,3.697,4.393,Dampf,5,dampf,4,740,6.050,2.870,737,6.025,2.868,,146,5.748,2.167,vapor,,5,vɐpoɾ,5,1614,7.885,3.208,1614,7.885,3.208,,801,10.267,2.904,4.011,vapor,5,bapoɾ,5,5506,17.892,3.741,5277,17.148,3.722,,280,6.731,2.449,
5349,steel,steel,Stahl,aço,acero,N,1.000,0.600,0.000,0.200,0.600,0.000,0.200,0.200,0.000,0.400,0.950,0.775,0.300,0.398,0.825,0.250,0.358,0.170,0.318,0.540,0.975,0.685,0.140,0.295,0.709,0.118,0.276,0.185,0.148,0.468,steel,5,stiɫ,4,578,25.815,2.763,469,20.947,2.672,,941,18.451,2.974,4.266,steel,5,sti:ɫ,4,782,43.687,2.894,746,41.676,2.873,,5251,26.081,3.720,4.416,Stahl,5,ʃta:l,4,1843,15.067,3.266,1372,11.216,3.138,,231,9.095,2.365,aço,,3,asu,3,2260,11.041,3.354,2260,11.041,3.354,,1353,17.342,3.132,4.239,acero,5,aθeɾo,5,8142,26.457,3.911,7365,23.933,3.867,,659,15.841,2.820,
5350,stem,stem,Stamm,caule,tallo,N,1.000,0.600,0.000,0.000,0.600,0.000,0.000,0.000,0.200,0.400,1.000,0.925,0.140,0.260,0.925,0.140,0.260,0.180,0.310,0.543,1.000,0.755,0.068,0.122,0.755,0.068,0.122,0.086,0.254,0.470,stem,4,ˈstɛm,4,358,15.989,2.555,199,8.888,2.301,,114,2.235,2.061,3.353,stem,4,stɛm,4,226,12.626,2.356,174,9.721,2.243,,1462,7.262,3.165,3.861,Stamm,5,ʃtam,4,1576,12.884,3.198,1566,12.802,3.195,,263,10.355,2.422,caule,,5,kawɫɨ,5,63,0.308,1.806,63,0.308,1.806,,27,0.346,1.447,2.539,tallo,5,taʝo,4,1617,5.254,3.209,1597,5.189,3.204,,39,0.938,1.602,
5351,stench,stench,Gestank,fedor,hedor,N,1.000,0.286,0.167,0.167,0.286,0.167,0.167,0.143,0.143,0.800,1.000,0.386,0.483,0.390,0.386,0.483,0.390,0.370,0.353,0.743,1.000,0.335,0.315,0.274,0.335,0.315,0.274,0.251,0.244,0.771,stench,6,stɛntʃ,5,28,1.251,1.462,25,1.117,1.415,,113,2.216,2.057,3.349,stench,6,stɛntʃ,5,76,4.246,1.886,76,4.246,1.886,,320,1.589,2.507,3.202,Gestank,7,ɡəʃtaŋk,7,327,2.673,2.516,327,2.673,2.516,,237,9.331,2.377,fedor,,5,fɨðoɾ,5,84,0.410,1.929,84,0.410,1.929,,324,4.153,2.512,3.618,hedor,5,eˈðoɾ,4,457,1.485,2.661,454,1.475,2.658,,103,2.476,2.017,
5352,step,step,Stufe,degrau,escalón,N,1.000,0.400,0.000,0.143,0.400,0.000,0.143,0.000,0.143,0.143,1.000,0.544,0.400,0.426,0.544,0.400,0.426,0.336,0.414,0.333,1.000,0.470,0.183,0.277,0.470,0.183,0.277,0.156,0.271,0.235,step,4,stɛp,4,2178,97.276,3.338,1854,82.805,3.268,,6052,118.667,3.782,5.074,step,4,stɛp,4,1427,79.721,3.155,1167,65.196,3.067,,24951,123.927,4.397,5.093,Stufe,5,ʃtu:fə,5,3828,31.294,3.583,3813,31.172,3.581,,367,14.449,2.566,degrau,,6,dɨγɾaw,6,718,3.508,2.857,718,3.508,2.857,,342,4.384,2.535,3.642,escalón,7,es̺kalon,7,970,3.152,2.987,869,2.824,2.940,,148,3.558,2.173,
5353,step,step,Schritt,passo,paso,N,1.000,0.143,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.800,1.000,0.641,0.250,0.250,0.641,0.250,0.250,0.131,0.131,0.950,1.000,0.369,0.118,0.118,0.369,0.118,0.118,0.064,0.064,0.873,step,4,stɛp,4,2178,97.276,3.338,1854,82.805,3.268,,6052,118.667,3.782,5.074,step,4,stɛp,4,1427,79.721,3.155,1167,65.196,3.067,,24951,123.927,4.397,5.093,Schritt,7,ʃʁɪt,4,12295,100.513,4.090,10468,85.577,4.020,,1754,69.058,3.244,passo,,5,pasu,4,19304,94.307,4.286,18488,90.320,4.267,,6563,84.120,3.817,4.925,paso,4,pas̺o,4,69767,226.707,4.844,64296,208.929,4.808,,6188,148.750,3.792,
5354,stepmother,stepmother,Stiefmutter,madrasta,madrastra,N,1.000,0.636,0.100,0.100,0.636,0.100,0.100,0.091,0.091,0.889,0.889,0.662,0.445,0.425,0.745,0.476,0.454,0.488,0.407,0.828,0.944,0.649,0.261,0.252,0.690,0.274,0.264,0.274,0.239,0.858,stepmother,10,stɛpmʌðəɹ̠,9,48,2.144,1.690,44,1.965,1.653,,216,4.235,2.336,3.628,stepmother,10,stɛpmʌðə,8,22,1.229,1.362,22,1.229,1.362,,182,0.904,2.262,2.958,Stiefmutter,11,ʃti:fmʊtɐ,8,124,1.014,2.097,124,1.014,2.097,,72,2.835,1.863,madrasta,,8,mɐðɾaʃtɐ,8,257,1.256,2.412,248,1.212,2.396,,361,4.627,2.559,3.665,madrastra,9,maðɾas̺tɾa,9,868,2.821,2.939,848,2.756,2.929,,190,4.567,2.281,
5355,stern,stern,Heck,popa,popa,N,1.000,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,1.000,0.760,0.298,0.349,0.349,0.323,0.225,0.225,0.188,0.188,0.944,0.876,0.248,0.162,0.162,0.260,0.107,0.107,0.090,0.090,0.972,stern,5,stɜɹ̠n,5,230,10.272,2.364,145,6.476,2.164,PN,327,6.412,2.516,3.808,stern,5,stɜ:n,4,211,11.788,2.326,57,3.184,1.763,,742,3.685,2.871,3.567,Heck,4,hɛk,3,315,2.575,2.500,273,2.232,2.438,,99,3.898,2.000,popa,,4,popɐ,4,513,2.506,2.711,513,2.506,2.711,,355,4.550,2.551,3.658,popa,4,popa,4,1510,4.907,3.179,1363,4.429,3.135,,141,3.389,2.152,
5356,stick,stick,Stock,pau,palo,N,1.000,0.800,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.500,1.000,0.869,0.298,0.125,0.869,0.298,0.125,0.313,0.134,0.675,1.000,0.834,0.139,0.061,0.834,0.139,0.061,0.146,0.065,0.585,stick,5,stɪk,4,915,40.866,2.962,281,12.550,2.450,,4953,97.118,3.695,4.987,stick,5,stɪk,4,978,54.637,2.991,470,26.257,2.673,,21025,104.428,4.323,5.018,Stock,5,ʃtɔk,4,2868,23.446,3.458,2798,22.874,3.447,,872,34.332,2.941,pau,,3,paw,3,1646,8.041,3.217,1646,8.041,3.217,,1727,22.135,3.238,4.345,palo,4,palo,4,5935,19.286,3.773,5152,16.741,3.712,,847,20.361,2.928,
